id_cliente,edad,antiguedad_meses,ingreso_mensual,tipo_producto,monto_cuota,tasa_interes_anual,porcentaje_uso_linea,dias_retraso_promedio,frecuencia_retrasos_6m,target_moroso
CUST-00001,59,51,2012.4,Prestamo Personal,597.81,23.9,0.17,15,5,0
CUST-00002,49,39,1582.81,Prestamo Personal,210.84,22.7,0.84,10,0,0
CUST-00003,35,51,2550.0,Microcredito,313.36,24.8,0.52,9,4,0
CUST-00004,63,70,1875.62,Tarjeta de Credito,190.83,19.9,0.35,10,4,0
CUST-00005,28,6,2123.11,Microcredito,278.37,20.4,0.33,12,1,0
CUST-00006,41,67,3360.1,Tarjeta de Credito,475.3,38.7,0.47,14,1,0
CUST-00007,59,7,3005.69,Tarjeta de Credito,679.64,26.5,0.95,52,2,1
CUST-00008,39,51,1716.99,Tarjeta de Credito,247.15,28.1,0.29,14,1,0
CUST-00009,43,72,2781.51,Tarjeta de Credito,289.57,32.8,0.19,10,3,0
CUST-00010,31,42,2606.22,Prestamo Personal,691.49,32.7,0.6,10,1,0
CUST-00011,31,64,3861.36,Tarjeta de Credito,668.48,17.0,0.52,12,1,0
CUST-00012,44,116,3606.52,Tarjeta de Credito,615.77,39.9,0.55,10,3,0
CUST-00013,56,15,1273.0,Microcredito,204.31,20.3,0.67,13,0,0
CUST-00014,60,111,3188.9,Microcredito,940.96,36.7,0.33,11,3,0
CUST-00015,44,29,3512.16,Microcredito,470.71,38.2,0.87,7,4,0
CUST-00016,23,33,2947.49,Microcredito,824.26,36.4,0.47,10,3,0
CUST-00017,42,116,2231.67,Prestamo Personal,569.88,32.4,0.21,12,2,0
CUST-00018,22,94,4430.72,Tarjeta de Credito,510.84,15.4,0.73,8,4,0
CUST-00019,44,103,3021.13,Tarjeta de Credito,898.32,25.8,0.65,5,1,0
CUST-00020,64,27,4081.24,Prestamo Personal,629.63,33.1,0.37,18,4,0
CUST-00021,50,36,3581.18,Tarjeta de Credito,428.73,26.6,0.63,17,0,0
CUST-00022,58,29,2871.31,Prestamo Personal,763.37,40.9,0.29,11,0,0
CUST-00023,22,38,2036.24,Tarjeta de Credito,491.42,24.3,0.48,14,3,0
CUST-00024,41,57,2480.72,Tarjeta de Credito,554.3,23.8,0.86,9,4,0
CUST-00025,53,97,2322.47,Prestamo Personal,304.7,23.0,0.21,8,1,0
CUST-00026,32,101,1528.38,Prestamo Personal,299.1,25.0,0.43,13,0,0
CUST-00027,42,27,3020.23,Prestamo Personal,773.51,31.7,0.8,11,5,0
CUST-00028,64,55,3753.88,Prestamo Personal,603.34,36.2,0.92,67,3,1
CUST-00029,45,33,2261.36,Tarjeta de Credito,367.1,34.9,0.49,9,5,0
CUST-00030,47,68,4230.93,Tarjeta de Credito,425.75,39.2,0.53,12,2,0
CUST-00031,62,86,1253.93,Microcredito,169.09,41.6,0.59,15,5,0
CUST-00032,48,66,3343.49,Prestamo Personal,919.73,39.5,0.89,6,0,0
CUST-00033,36,10,3837.22,Tarjeta de Credito,722.74,15.6,0.83,12,3,0
CUST-00034,35,5,2336.78,Microcredito,693.67,37.1,0.25,13,2,0
CUST-00035,64,74,2351.15,Tarjeta de Credito,421.19,21.3,0.47,8,4,0
CUST-00036,23,97,3334.21,Tarjeta de Credito,810.34,19.0,0.49,12,1,0
CUST-00037,57,118,2904.79,Tarjeta de Credito,454.26,34.2,0.77,91,2,1
CUST-00038,27,38,902.07,Prestamo Personal,155.84,24.6,0.61,6,2,0
CUST-00039,41,13,1825.3,Prestamo Personal,252.16,16.7,0.66,15,2,0
CUST-00040,29,31,2489.16,Tarjeta de Credito,421.69,19.1,0.95,50,2,1
CUST-00041,59,47,1404.24,Microcredito,294.11,15.0,0.16,5,4,0
CUST-00042,38,100,2120.66,Tarjeta de Credito,632.71,42.1,0.29,13,4,0
CUST-00043,24,109,1424.25,Tarjeta de Credito,331.62,15.7,0.45,11,3,0
CUST-00044,45,88,2203.86,Tarjeta de Credito,308.21,21.3,0.4,9,5,0
CUST-00045,34,52,2230.7,Tarjeta de Credito,243.13,27.5,0.12,14,4,0
CUST-00046,29,56,2781.4,Tarjeta de Credito,348.43,25.7,0.18,12,3,0
CUST-00047,46,15,2426.59,Prestamo Personal,515.68,42.4,0.68,14,5,0
CUST-00048,22,29,2902.23,Microcredito,734.36,16.2,0.85,62,4,1
CUST-00049,40,8,2806.84,Prestamo Personal,808.61,30.4,0.54,8,0,0
CUST-00050,48,5,3325.07,Tarjeta de Credito,343.03,35.4,0.56,11,4,0
CUST-00051,27,29,3199.03,Tarjeta de Credito,654.37,43.0,0.32,13,3,0
CUST-00052,64,47,3114.5,Tarjeta de Credito,604.75,33.6,0.75,8,2,0
CUST-00053,28,68,4983.89,Tarjeta de Credito,1152.33,39.1,0.74,14,4,0
CUST-00054,55,76,2777.92,Prestamo Personal,588.69,17.5,0.6,10,1,0
CUST-00055,34,45,4574.86,Tarjeta de Credito,1086.11,26.6,0.28,11,2,0
CUST-00056,37,2,2829.77,Prestamo Personal,655.42,26.2,0.18,10,4,0
CUST-00057,56,27,2433.72,Microcredito,300.33,41.6,0.15,18,2,0
CUST-00058,60,95,2201.47,Tarjeta de Credito,572.26,19.5,0.6,15,0,0
CUST-00059,24,115,3707.78,Microcredito,462.16,19.6,0.8,13,0,0
CUST-00060,22,115,3812.4,Prestamo Personal,913.86,24.9,0.83,57,2,1
CUST-00061,26,36,2979.83,Prestamo Personal,545.99,16.6,0.49,12,5,0
CUST-00062,62,36,3406.84,Prestamo Personal,690.81,20.5,0.77,4,1,0
CUST-00063,24,26,1478.22,Tarjeta de Credito,414.88,44.0,0.9,55,2,1
